"Country","world-rankings"
"Angola",40
"Bangladesh",27
"Botswana",3
"Congo (DRC)",10
"Côte D'Ivoire",29
"Chile",175
"Cameroon",29
"Colombia",132
"Costa Rica",54
"Dominican Republic",107
"Algeria",16
"Ecuador",76
"Estonia",123
"Egypt",106
"Grenada",111
"Ghana",110
"Iraq",40
"Iceland",114
"Kenya",34
"Cambodia",68
"Laos",27
"Sri Lanka",64
"Luxembourg",109
"Morocco",42
"Montenegro",106
"Mali",21
"Macao",102
"Maldives",107
"Malawi",15
"Mozambique",33
"Nigeria",139
"Nicaragua",33
"Nauru",107
"Peru",200
"Pakistan",186
"Qatar",53
"Solomon Islands",107
"Somalia",21
"El Salvador",46
"Tunisia",27
"Tonga",106
"Tanzania",50
"Uganda",55
"Uzbekistan",182
"Venezuela",73
"Kosovo",107
"South Africa",61
"Zambia",32
"Zimbabwe",7